# Created on: Sun Feb 25 10:33:29 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.696759	1.04514	0.539364	1.5845	0.438286	0.34838	0.786665
0.999888	1.49983	0.53945	2.03928	0.438343	0.499944	0.938287
0.999755	1.49963	0.539717	2.03935	0.438501	0.499878	0.938378
0.999622	1.49943	0.540183	2.03962	0.438776	0.499811	0.938587
0.999489	1.49923	0.540849	2.04008	0.439169	0.499745	0.938914
0.999356	1.49903	0.541715	2.04075	0.439679	0.499678	0.939357
0.999223	1.49883	0.54278	2.04161	0.440306	0.499612	0.939918
0.999089	1.49863	0.544047	2.04268	0.441051	0.499545	0.940596
0.998955	1.49843	0.545516	2.04395	0.441913	0.499478	0.941391
0.99882	1.49823	0.547187	2.04542	0.442892	0.49941	0.942302
0.998685	1.49803	0.549062	2.04709	0.443988	0.499342	0.94333
0.998548	1.49782	0.551142	2.04896	0.4452	0.499274	0.944474
0.998411	1.49762	0.553427	2.05104	0.446527	0.499206	0.945733
0.998273	1.49741	0.555919	2.05333	0.447969	0.499136	0.947106
0.998134	1.4972	0.55862	2.05582	0.449525	0.499067	0.948592
0.997994	1.49699	0.561529	2.05852	0.451195	0.498997	0.950192
0.997852	1.49678	0.564649	2.06143	0.452977	0.498926	0.951903
0.99771	1.49657	0.567982	2.06455	0.454871	0.498855	0.953726
0.997567	1.49635	0.571528	2.06788	0.456875	0.498783	0.955658
0.997423	1.49613	0.57529	2.07142	0.458989	0.498711	0.9577
0.997277	1.49592	0.579268	2.07518	0.461212	0.498639	0.959851
0.997131	1.4957	0.583464	2.07916	0.463541	0.498566	0.962107
0.996985	1.49548	0.587879	2.08336	0.465976	0.498492	0.964468
0.996837	1.49526	0.592514	2.08777	0.468514	0.498419	0.966933
0.99669	1.49503	0.59737	2.0924	0.471155	0.498345	0.969499
0.996542	1.49481	0.602447	2.09726	0.473894	0.498271	0.972165
0.996394	1.49459	0.607745	2.10234	0.476731	0.498197	0.974928
0.996247	1.49437	0.613264	2.10763	0.479662	0.498123	0.977785
0.9961	1.49415	0.619003	2.11315	0.482684	0.49805	0.980734
0.995955	1.49393	0.62496	2.11889	0.485795	0.497977	0.983772
0.995811	1.49372	0.631134	2.12485	0.48899	0.497905	0.986895
0.995669	1.4935	0.637522	2.13102	0.492265	0.497834	0.990099
0.995529	1.49329	0.644121	2.13741	0.495618	0.497764	0.993382
0.995392	1.49309	0.650926	2.14401	0.499042	0.497696	0.996739
0.995259	1.49289	0.657934	2.15082	0.502535	0.497629	1.00016
0.99513	1.49269	0.665138	2.15783	0.506091	0.497565	1.00366
0.995005	1.49251	0.672532	2.16504	0.509704	0.497502	1.00721
0.994886	1.49233	0.680108	2.17244	0.51337	0.497443	1.01081
0.994772	1.49216	0.68786	2.18002	0.517083	0.497386	1.01447
0.994665	1.492	0.695776	2.18777	0.520838	0.497333	1.01817
0.994565	1.49185	0.703846	2.19569	0.524627	0.497283	1.02191
0.994473	1.49171	0.712059	2.20377	0.528445	0.497237	1.02568
0.99439	1.49158	0.720404	2.21199	0.532286	0.497195	1.02948
0.994315	1.49147	0.728867	2.22034	0.536144	0.497158	1.0333
0.99425	1.49138	0.737434	2.22881	0.540012	0.497125	1.03714
0.994196	1.49129	0.74609	2.23738	0.543884	0.497098	1.04098
0.994151	1.49123	0.754821	2.24605	0.547753	0.497076	1.04483
0.994118	1.49118	0.76361	2.25479	0.551614	0.497059	1.04867
0.994096	1.49114	0.77244	2.26358	0.555461	0.497048	1.05251
0.994086	1.49113	0.781295	2.27242	0.559286	0.497043	1.05633
0.994088	1.49113	0.790154	2.28129	0.563083	0.497044	1.06013
0.994102	1.49115	0.799003	2.29016	0.566848	0.497051	1.0639
0.994129	1.49119	0.80782	2.29901	0.570574	0.497064	1.06764
0.994168	1.49125	0.816589	2.30784	0.574257	0.497084	1.07134
0.994219	1.49133	0.82529	2.31662	0.577889	0.49711	1.075
0.994283	1.49142	0.833904	2.32533	0.581466	0.497142	1.07861
0.99436	1.49154	0.842413	2.33395	0.584984	0.49718	1.08216
0.994448	1.49167	0.850799	2.34247	0.588438	0.497224	1.08566
0.994548	1.49182	0.859043	2.35087	0.591825	0.497274	1.0891
0.994661	1.49199	0.867128	2.35912	0.595139	0.49733	1.09247
0.994784	1.49218	0.875037	2.36721	0.598378	0.497392	1.09577
0.994919	1.49238	0.882753	2.37513	0.601537	0.497459	1.099
