# Created on: Sun Feb 25 10:33:29 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.696759	1.04514	1.04584	2.09098	1.04584	0.34838	1.39422
0.999543	1.49931	1.04614	2.54546	1.04614	0.499772	1.54592
0.998997	1.4985	1.04724	2.54573	1.04724	0.499498	1.54674
0.998449	1.49767	1.04915	2.54683	1.04915	0.499225	1.54838
0.997899	1.49685	1.05189	2.54874	1.05189	0.49895	1.55084
0.997345	1.49602	1.05546	2.55147	1.05546	0.498672	1.55413
0.996784	1.49518	1.05986	2.55503	1.05986	0.498392	1.55825
0.996216	1.49432	1.0651	2.55943	1.0651	0.498108	1.56321
0.995638	1.49346	1.07121	2.56467	1.07121	0.497819	1.56903
0.99505	1.49257	1.07819	2.57076	1.07819	0.497525	1.57571
0.99445	1.49167	1.08606	2.57773	1.08606	0.497225	1.58328
0.993837	1.49076	1.09484	2.58559	1.09484	0.496918	1.59175
0.99321	1.48982	1.10454	2.59436	1.10454	0.496605	1.60115
0.992569	1.48885	1.1152	2.60405	1.1152	0.496285	1.61148
0.991915	1.48787	1.12682	2.61469	1.12682	0.495957	1.62277
0.991246	1.48687	1.13943	2.6263	1.13943	0.495623	1.63505
0.990565	1.48585	1.15305	2.6389	1.15305	0.495283	1.64833
0.989874	1.48481	1.16769	2.6525	1.16769	0.494937	1.66263
0.989175	1.48376	1.18337	2.66714	1.18337	0.494587	1.67796
0.988473	1.48271	1.2001	2.68281	1.2001	0.494237	1.69434
0.987775	1.48166	1.21788	2.69954	1.21788	0.493887	1.71176
0.987087	1.48063	1.23668	2.71732	1.23668	0.493544	1.73023
0.98642	1.47963	1.2565	2.73613	1.2565	0.49321	1.74971
0.985785	1.47868	1.2773	2.75597	1.2773	0.492892	1.77019
0.985196	1.47779	1.299	2.77679	1.299	0.492598	1.7916
0.984668	1.477	1.32154	2.79854	1.32154	0.492334	1.81388
0.98422	1.47633	1.34481	2.82114	1.34481	0.49211	1.83692
0.983869	1.4758	1.36867	2.84448	1.36867	0.491935	1.86061
0.983634	1.47545	1.39298	2.86843	1.39298	0.491817	1.8848
0.983531	1.4753	1.41754	2.89283	1.41754	0.491765	1.9093
0.983574	1.47536	1.44214	2.9175	1.44214	0.491787	1.93393
0.983774	1.47566	1.46656	2.94222	1.46656	0.491887	1.95845
0.984136	1.4762	1.49056	2.96677	1.49056	0.492068	1.98263
0.984659	1.47699	1.51391	2.99089	1.51391	0.49233	2.00624
0.985336	1.478	1.53635	3.01436	1.53635	0.492668	2.02902
0.986152	1.47923	1.55768	3.03691	1.55768	0.493076	2.05076
0.987087	1.48063	1.57771	3.05834	1.57771	0.493544	2.07125
0.988117	1.48218	1.59626	3.07844	1.59626	0.494058	2.09032
0.989213	1.48382	1.61322	3.09704	1.61322	0.494606	2.10783
0.990345	1.48552	1.62852	3.11404	1.62852	0.495172	2.12369
0.991484	1.48723	1.64212	3.12934	1.64212	0.495742	2.13786
0.992604	1.48891	1.65402	3.14293	1.65402	0.496302	2.15032
0.993682	1.49052	1.66428	3.1548	1.66428	0.496841	2.16112
0.994699	1.49205	1.67297	3.16502	1.67297	0.497349	2.17032
0.995642	1.49346	1.68019	3.17366	1.68019	0.497821	2.17802
0.996505	1.49476	1.68606	3.18082	1.68606	0.498252	2.18432
0.997283	1.49592	1.69071	3.18663	1.69071	0.498642	2.18935
0.997979	1.49697	1.69425	3.19121	1.69425	0.49899	2.19324
0.998597	1.4979	1.6968	3.1947	1.6968	0.499298	2.1961
0.999142	1.49871	1.69849	3.1972	1.69849	0.499571	2.19806
0.999622	1.49943	1.6994	3.19884	1.6994	0.499811	2.19922
1.00004	1.50006	1.69965	3.19971	1.69965	0.500021	2.19967
1.00041	1.50061	1.69931	3.19992	1.69931	0.500203	2.19951
1.00072	1.50108	1.69845	3.19953	1.69845	0.50036	2.19881
1.00099	1.50148	1.69717	3.19865	1.69717	0.500494	2.19766
1.00121	1.50182	1.69551	3.19733	1.69551	0.500606	2.19611
1.00139	1.50209	1.69355	3.19564	1.69355	0.500697	2.19425
1.00154	1.50231	1.69134	3.19365	1.69134	0.50077	2.19211
1.00165	1.50248	1.68894	3.19142	1.68894	0.500826	2.18977
1.00173	1.5026	1.6864	3.189	1.6864	0.500867	2.18726
1.00179	1.50268	1.68375	3.18643	1.68375	0.500894	2.18464
1.00182	1.50272	1.68104	3.18377	1.68104	0.500908	2.18195
1.00182	1.50273	1.67831	3.18104	1.67831	0.50091	2.17922
1.0018	1.5027	1.67559	3.17829	1.67559	0.5009	2.17649
1.00175	1.50263	1.67291	3.17555	1.67291	0.500877	2.17379
1.00168	1.50253	1.67033	3.17286	1.67033	0.500842	2.17117
1.00159	1.50239	1.66787	3.17025	1.66787	0.500796	2.16866
1.00148	1.50222	1.66556	3.16778	1.66556	0.50074	2.1663
1.00135	1.50203	1.66343	3.16546	1.66343	0.500676	2.16411
1.00122	1.50182	1.6615	3.16333	1.6615	0.500608	2.16211
1.00108	1.50161	1.65978	3.1614	1.65978	0.500538	2.16032
1.00093	1.5014	1.65828	3.15968	1.65828	0.500467	2.15874
1.00079	1.50119	1.65698	3.15817	1.65698	0.500396	2.15738
1.00065	1.50098	1.6559	3.15688	1.6559	0.500326	2.15623
1.00051	1.50077	1.65503	3.1558	1.65503	0.500255	2.15528
1.00037	1.50055	1.65437	3.15492	1.65437	0.500184	2.15455
1.00023	1.50034	1.65392	3.15426	1.65392	0.500113	2.15404
1.00009	1.50013	1.65369	3.15382	1.65369	0.500044	2.15373
0.999956	1.49993	1.65366	3.1536	1.65366	0.499978	2.15364
0.999839	1.49976	1.65382	3.15358	1.65382	0.499919	2.15374
0.99974	1.49961	1.65414	3.15375	1.65414	0.49987	2.15401
0.999665	1.4995	1.65459	3.15409	1.65459	0.499832	2.15442
0.999612	1.49942	1.65514	3.15456	1.65514	0.499806	2.15494
0.999576	1.49936	1.65575	3.15512	1.65575	0.499788	2.15554
0.999548	1.49932	1.65641	3.15573	1.65641	0.499774	2.15618
0.999515	1.49927	1.65711	3.15639	1.65711	0.499758	2.15687
0.999467	1.4992	1.65787	3.15707	1.65787	0.499733	2.15761
0.999392	1.49909	1.65873	3.15781	1.65873	0.499696	2.15842
0.999285	1.49893	1.65971	3.15864	1.65971	0.499643	2.15936
0.999149	1.49872	1.66088	3.15961	1.66088	0.499575	2.16046
0.998991	1.49849	1.66228	3.16076	1.66228	0.499495	2.16177
0.998825	1.49824	1.66392	3.16215	1.66392	0.499413	2.16333
0.998671	1.49801	1.6658	3.16381	1.6658	0.499335	2.16514
0.998549	1.49782	1.66789	3.16572	1.66789	0.499275	2.16717
0.998482	1.49772	1.67013	3.16785	1.67013	0.499241	2.16937
0.998488	1.49773	1.67242	3.17015	1.67242	0.499244	2.17166
0.998578	1.49787	1.67463	3.1725	1.67463	0.499289	2.17392
0.998756	1.49813	1.67665	3.17478	1.67665	0.499378	2.17603
0.999014	1.49852	1.67833	3.17685	1.67833	0.499507	2.17784
0.999328	1.49899	1.67958	3.17858	1.67958	0.499664	2.17925
0.999667	1.4995	1.68034	3.17984	1.68034	0.499834	2.18017
0.999996	1.49999	1.68059	3.18058	1.68059	0.499998	2.18059
1.00028	1.50042	1.68037	3.18079	1.68037	0.500141	2.18051
1.0005	1.50075	1.67977	3.18052	1.67977	0.500251	2.18002
1.00065	1.50097	1.67889	3.17986	1.67889	0.500324	2.17922
1.00072	1.50108	1.67786	3.17893	1.67786	0.500359	2.17822
1.00072	1.50108	1.67677	3.17785	1.67677	0.500361	2.17713
1.00067	1.50101	1.67571	3.17672	1.67571	0.500337	2.17605
1.00059	1.50088	1.67476	3.17564	1.67476	0.500293	2.17505
1.00047	1.50071	1.67396	3.17467	1.67396	0.500236	2.1742
1.00035	1.50052	1.67335	3.17387	1.67335	0.500173	2.17352
1.00022	1.50032	1.67293	3.17325	1.67293	0.500108	2.17303
1.00009	1.50013	1.6727	3.17283	1.6727	0.500044	2.17275
0.999972	1.49996	1.67266	3.17262	1.67266	0.499986	2.17264
0.999869	1.4998	1.67278	3.17259	1.67278	0.499934	2.17272
0.999782	1.49967	1.67305	3.17272	1.67305	0.499891	2.17294
0.999711	1.49957	1.67343	3.173	1.67343	0.499856	2.17329
0.999654	1.49948	1.67391	3.17339	1.67391	0.499827	2.17374
0.999607	1.49941	1.67447	3.17388	1.67447	0.499804	2.17427
0.999567	1.49935	1.67509	3.17444	1.67509	0.499784	2.17487
0.999532	1.4993	1.67577	3.17506	1.67577	0.499766	2.17553
0.999499	1.49925	1.67649	3.17574	1.67649	0.499749	2.17624
0.99947	1.4992	1.67727	3.17647	1.67727	0.499735	2.177
0.999449	1.49917	1.67808	3.17726	1.67808	0.499724	2.17781
