# Created on: Sun Feb 25 10:35:59 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.696759	1.04514	0.414932	1.46007	0.313285	0.34838	0.661665
0.999937	1.49991	0.414987	1.91489	0.313318	0.499969	0.813287
0.999863	1.49979	0.415137	1.91493	0.313387	0.499931	0.813318
0.999788	1.49968	0.415399	1.91508	0.313506	0.499894	0.8134
0.999714	1.49957	0.415772	1.91534	0.313675	0.499857	0.813532
0.99964	1.49946	0.416257	1.91572	0.313895	0.49982	0.813715
0.999565	1.49935	0.416853	1.9162	0.314165	0.499783	0.813948
0.999491	1.49924	0.417562	1.9168	0.314486	0.499746	0.814232
0.999417	1.49913	0.418384	1.91751	0.314858	0.499708	0.814567
0.999342	1.49901	0.419318	1.91833	0.31528	0.499671	0.814951
0.999268	1.4989	0.420364	1.91927	0.31575	0.499634	0.815384
0.999194	1.49879	0.421523	1.92031	0.316271	0.499597	0.815867
0.999119	1.49868	0.422794	1.92147	0.316839	0.499559	0.816398
0.999044	1.49857	0.424177	1.92274	0.317454	0.499522	0.816976
0.99897	1.49845	0.425673	1.92413	0.318117	0.499485	0.817601
0.998895	1.49834	0.427281	1.92562	0.318824	0.499447	0.818272
0.99882	1.49823	0.429	1.92723	0.319577	0.49941	0.818987
0.998745	1.49812	0.430833	1.92895	0.320374	0.499372	0.819747
0.99867	1.49801	0.432776	1.93078	0.321213	0.499335	0.820548
0.998595	1.49789	0.434833	1.93273	0.322096	0.499298	0.821394
0.99852	1.49778	0.437001	1.93478	0.32302	0.49926	0.82228
0.998445	1.49767	0.439282	1.93695	0.323983	0.499223	0.823206
0.998371	1.49756	0.441674	1.93923	0.324986	0.499185	0.824171
0.998296	1.49744	0.444177	1.94162	0.326026	0.499148	0.825174
0.998222	1.49733	0.446792	1.94413	0.327103	0.499111	0.826214
0.998148	1.49722	0.449518	1.94674	0.328216	0.499074	0.82729
0.998075	1.49711	0.452355	1.94947	0.329362	0.499037	0.8284
0.998002	1.497	0.4553	1.9523	0.330541	0.499001	0.829542
0.997929	1.49689	0.458355	1.95525	0.331751	0.498965	0.830716
0.997858	1.49679	0.461517	1.9583	0.332991	0.498929	0.83192
0.997787	1.49668	0.464786	1.96147	0.334258	0.498893	0.833152
0.997717	1.49658	0.46816	1.96474	0.335551	0.498858	0.83441
0.997648	1.49647	0.471637	1.96811	0.336869	0.498824	0.835693
0.997581	1.49637	0.475217	1.97159	0.338209	0.49879	0.837
0.997514	1.49627	0.478897	1.97517	0.339571	0.498757	0.838328
0.99745	1.49617	0.482675	1.97885	0.340951	0.498725	0.839676
0.997387	1.49608	0.486548	1.98263	0.342348	0.498693	0.841042
