# Created on: Sun Feb 25 10:33:29 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.696759	1.04514	0.162172	1.20731	0.0987529	0.34838	0.447133
0.999993	1.49999	0.162191	1.66218	0.098767	0.499996	0.598763
0.999984	1.49998	0.162209	1.66218	0.0987686	0.499992	0.598761
0.999975	1.49996	0.162239	1.6622	0.0987711	0.499988	0.598759
0.999967	1.49995	0.162282	1.66223	0.0987743	0.499983	0.598758
0.999958	1.49994	0.162338	1.66228	0.0987785	0.499979	0.598758
0.99995	1.49993	0.162407	1.66233	0.0987839	0.499975	0.598759
0.999942	1.49991	0.162489	1.6624	0.0987908	0.499971	0.598762
0.999933	1.4999	0.162586	1.66249	0.0988003	0.499967	0.598767
0.999925	1.49989	0.162695	1.66258	0.0988107	0.499962	0.598773
0.999917	1.49987	0.162818	1.66269	0.0988227	0.499958	0.598781
0.999908	1.49986	0.162954	1.66282	0.098837	0.499954	0.598791
0.9999	1.49985	0.163103	1.66295	0.0988522	0.49995	0.598802
0.999892	1.49984	0.163264	1.6631	0.0988684	0.499946	0.598814
0.999884	1.49983	0.163438	1.66326	0.0988858	0.499942	0.598828
0.999876	1.49981	0.163623	1.66344	0.0989036	0.499938	0.598842
0.999868	1.4998	0.16382	1.66362	0.0989218	0.499934	0.598856
0.999861	1.49979	0.164029	1.66382	0.0989412	0.49993	0.598872
0.999853	1.49978	0.164248	1.66403	0.09896	0.499927	0.598887
0.999846	1.49977	0.16448	1.66425	0.0989804	0.499923	0.598903
0.999838	1.49976	0.164722	1.66448	0.0990008	0.499919	0.59892
0.999831	1.49975	0.164975	1.66472	0.099021	0.499916	0.598937
0.999824	1.49974	0.165238	1.66497	0.0990415	0.499912	0.598954
0.999817	1.49973	0.165512	1.66524	0.0990622	0.499908	0.598971
0.99981	1.49972	0.165796	1.66551	0.0990832	0.499905	0.598988
0.999803	1.49971	0.16609	1.6658	0.0991043	0.499902	0.599006
0.999797	1.4997	0.166394	1.66609	0.0991254	0.499898	0.599024
0.999791	1.49969	0.166706	1.66639	0.0991462	0.499895	0.599041
0.999784	1.49968	0.167029	1.66671	0.0991677	0.499892	0.59906
0.999778	1.49967	0.167361	1.66703	0.0991886	0.499889	0.599078
0.999772	1.49966	0.167702	1.66736	0.0992099	0.499886	0.599096
0.999767	1.49965	0.16805	1.6677	0.0992307	0.499883	0.599114
0.999761	1.49964	0.168407	1.66805	0.0992509	0.499881	0.599132
0.999756	1.49963	0.168772	1.66841	0.0992714	0.499878	0.599149
0.999751	1.49963	0.169145	1.66877	0.0992915	0.499875	0.599167
0.999746	1.49962	0.169526	1.66914	0.0993117	0.499873	0.599185
0.999741	1.49961	0.169913	1.66952	0.0993315	0.499871	0.599202
0.999737	1.4996	0.170308	1.66991	0.0993512	0.499868	0.599219
0.999732	1.4996	0.170709	1.67031	0.0993705	0.499866	0.599237
0.999728	1.49959	0.171116	1.67071	0.0993893	0.499864	0.599253
0.999724	1.49959	0.171529	1.67111	0.0994077	0.499862	0.59927
0.999721	1.49958	0.171947	1.67153	0.0994259	0.49986	0.599286
0.999717	1.49958	0.17237	1.67195	0.0994435	0.499859	0.599302
0.999714	1.49957	0.172799	1.67237	0.099461	0.499857	0.599318
0.999711	1.49957	0.173232	1.6728	0.0994781	0.499856	0.599334
0.999708	1.49956	0.173668	1.67323	0.0994938	0.499854	0.599348
0.999706	1.49956	0.174109	1.67367	0.0995094	0.499853	0.599362
0.999704	1.49956	0.174553	1.67411	0.099525	0.499852	0.599377
0.999702	1.49955	0.175	1.67455	0.0995407	0.499851	0.599392
0.9997	1.49955	0.17545	1.675	0.0995554	0.49985	0.599405
0.999699	1.49955	0.175903	1.67545	0.0995704	0.499849	0.59942
0.999697	1.49955	0.176357	1.6759	0.099585	0.499849	0.599434
0.999696	1.49954	0.176813	1.67636	0.0995993	0.499848	0.599447
0.999696	1.49954	0.177271	1.67681	0.0996131	0.499848	0.599461
0.999695	1.49954	0.177729	1.67727	0.0996266	0.499848	0.599474
0.999695	1.49954	0.178187	1.67773	0.0996394	0.499847	0.599487
0.999695	1.49954	0.178645	1.67819	0.099652	0.499847	0.599499
0.999695	1.49954	0.179104	1.67865	0.0996646	0.499847	0.599512
0.999695	1.49954	0.179562	1.6791	0.0996774	0.499848	0.599525
0.999696	1.49954	0.180019	1.67956	0.0996906	0.499848	0.599539
0.999697	1.49955	0.180475	1.68002	0.0997031	0.499848	0.599552
0.999698	1.49955	0.18093	1.68048	0.099716	0.499849	0.599565
0.999699	1.49955	0.181382	1.68093	0.0997283	0.49985	0.599578
0.999701	1.49955	0.181832	1.68138	0.0997404	0.49985	0.599591
0.999703	1.49955	0.182281	1.68183	0.0997538	0.499851	0.599605
0.999704	1.49956	0.182726	1.68228	0.0997667	0.499852	0.599619
0.999706	1.49956	0.183169	1.68273	0.0997803	0.499853	0.599634
0.999709	1.49956	0.183607	1.68317	0.0997932	0.499854	0.599648
0.999711	1.49957	0.184042	1.68361	0.0998067	0.499856	0.599662
0.999714	1.49957	0.184474	1.68404	0.0998207	0.499857	0.599678
0.999716	1.49957	0.184901	1.68448	0.0998349	0.499858	0.599693
0.999719	1.49958	0.185324	1.6849	0.09985	0.49986	0.59971
0.999722	1.49958	0.185744	1.68533	0.099866	0.499861	0.599727
0.999725	1.49959	0.186158	1.68575	0.0998821	0.499863	0.599745
0.999729	1.49959	0.186568	1.68616	0.0998988	0.499864	0.599763
0.999732	1.4996	0.186972	1.68657	0.0999158	0.499866	0.599782
0.999736	1.4996	0.187372	1.68697	0.0999337	0.499868	0.599801
0.999739	1.49961	0.187766	1.68738	0.0999528	0.49987	0.599822
0.999743	1.49961	0.188155	1.68777	0.0999721	0.499871	0.599843
0.999746	1.49962	0.188539	1.68816	0.0999921	0.499873	0.599865
0.99975	1.49963	0.188917	1.68854	0.100013	0.499875	0.599888
0.999754	1.49963	0.189288	1.68892	0.100034	0.499877	0.599911
0.999758	1.49964	0.189655	1.68929	0.100057	0.499879	0.599936
0.999762	1.49964	0.190015	1.68966	0.100079	0.499881	0.59996
0.999766	1.49965	0.190369	1.69002	0.100103	0.499883	0.599986
0.99977	1.49965	0.190718	1.69037	0.100127	0.499885	0.600012
0.999774	1.49966	0.19106	1.69072	0.100152	0.499887	0.600039
0.999778	1.49967	0.191397	1.69106	0.100177	0.499889	0.600066
0.999782	1.49967	0.191727	1.6914	0.100204	0.499891	0.600094
0.999786	1.49968	0.192052	1.69173	0.100231	0.499893	0.600124
0.99979	1.49968	0.192371	1.69206	0.100258	0.499895	0.600153
0.999794	1.49969	0.192683	1.69237	0.100286	0.499897	0.600183
0.999798	1.4997	0.19299	1.69269	0.100314	0.499899	0.600213
0.999801	1.4997	0.193291	1.69299	0.100343	0.499901	0.600244
0.999805	1.49971	0.193586	1.69329	0.100373	0.499903	0.600275
0.999809	1.49971	0.193874	1.69359	0.100402	0.499905	0.600307
0.999813	1.49972	0.194157	1.69388	0.100432	0.499907	0.600339
0.999817	1.49973	0.194435	1.69416	0.100463	0.499908	0.600371
0.999821	1.49973	0.194707	1.69444	0.100494	0.49991	0.600404
0.999824	1.49974	0.194973	1.69471	0.100524	0.499912	0.600437
0.999828	1.49974	0.195233	1.69498	0.100556	0.499914	0.60047
0.999832	1.49975	0.195487	1.69524	0.100587	0.499916	0.600503
0.999835	1.49975	0.195737	1.69549	0.100618	0.499918	0.600536
0.999839	1.49976	0.195981	1.69574	0.10065	0.49992	0.60057
0.999843	1.49976	0.19622	1.69598	0.100683	0.499921	0.600604
0.999846	1.49977	0.196454	1.69622	0.100715	0.499923	0.600638
0.99985	1.49977	0.196681	1.69646	0.100747	0.499925	0.600672
0.999853	1.49978	0.196904	1.69668	0.100779	0.499927	0.600706
0.999857	1.49978	0.197122	1.69691	0.100813	0.499928	0.600741
0.99986	1.49979	0.197335	1.69713	0.100846	0.49993	0.600776
0.999863	1.49979	0.197543	1.69734	0.100878	0.499932	0.60081
0.999867	1.4998	0.197745	1.69754	0.100911	0.499933	0.600844
0.99987	1.4998	0.197942	1.69775	0.100944	0.499935	0.600879
0.999873	1.49981	0.198135	1.69795	0.100977	0.499937	0.600914
0.999876	1.49981	0.198323	1.69814	0.10101	0.499938	0.600948
0.99988	1.49982	0.198506	1.69833	0.101044	0.49994	0.600983
0.999883	1.49982	0.198684	1.69851	0.101077	0.499941	0.601018
0.999886	1.49983	0.198858	1.69869	0.10111	0.499943	0.601053
0.999889	1.49983	0.199027	1.69886	0.101144	0.499944	0.601088
0.999892	1.49984	0.199192	1.69903	0.101177	0.499946	0.601123
0.999895	1.49984	0.199352	1.69919	0.101211	0.499947	0.601158
